2000575029008,COMMUNICATION BOOK / NOTICES - Please initial once you have read ,Images,Lyn,Emma B,Sayba,Yanna,Lucy,Victoria,Angie,Andy,Alex,Tammy
02/02/25,Please make sure you check if 1 of each design of the clothing is out on the rack - today I found 4 MT tees were not on display.,,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,,,
2.2.25,"We have moved Happy Socks to the wall with the other socks. There isn't enough room, so any socks that had spare, I put under the register to make room. ",,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,ec,,
28.1.25,"if an item is damaged and sold at a discounted price please write that is damaged on the receipt, in case a customer tries to return it and get the full price back",,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,ec,,
28.1.25,large plushies dont need to be taken out of their plastic bag. we just need one on display. the others can be kept clean and underneath the shelf in middle. customers often ask for one that is 'new' ie still in the bag.,,,,,,la,,,,,
,,,ls,EB,sz,,,vc,al,ec,,
26.01.25,izipizi (sunglasses) security tag remover is hooked with the bee keychain with the cash register key,,,,,,la,,,,,
,,,ls,EB,sz,,,vc,al,ec,,
23.01.25,please put phone on to charge at night,,,,,,la,,,,,
,,,ls,EB,sz,,,vc,al,ec,,
18.01.25,"i'm putting the cash register key on the stationary cabinet, it's hooked in with the bee keychain",,,,,,la,,,,,
,,,ls,EB,sz,,,vc,al,ec,,
15/01/25,wooden bridges are in storage,,,,,,la,,,,,
,,,ls,EB,sz,,,vc,al,ec,,
14/01/25,extra orbitkey behind display,,,,,,la,,,,,
,,,ls,EB,sz,,,,al,ec,,
12.01.25,extra izipizi glasses on the mushroom dffuser cabinet. they are security tag and the thing to remove them might still be on centreway,,,,,,la,,,,,
,,,ls,EB,sz,,,vc,al,ec,,
11.01.25,"for mugs with boxes, please just take one of each designs out as a display, we don't need multiple mugs of the same designs out",,,,,,la,,,,,
,,,ls,EB,sz,,,vc,al,ec,,
11.01.25,"unless its half of the wrapping paper, please just chuck them out instead of keeping them. it will make the cabinet less messy",,,,,,la,,,,,
,,,ls,EB,sz,,,vc,al,ec,,
8.1.25,Music box display - if windows come out/ get stuck put top section in slot first. Its easier to force back in at the base of the windows than doing it the other way :),,,,,,la,,,,,
,,,ls,EB,sz,,,vc,al,ec,,
8.1.25,jewellery from CW is under the computer in cabinet!! in paper bag labelled jewellery,,,,,,,,,,,
,,,happy new yearrr,:),sz,,,vc,,ec,,
5/1/25,"Zellar Troubleshooting: Take sim card out, then reboot , and put the sim back in after reboot is complete",,,,,,la,,,,,
,,,ls,EB,sz,,,vc,al,ec,,
03.01.25,A reminder again to write customer's order on both Customer request and Store needs and daily notes tab. The item will not be delivered here to us if it's not written in the store needs and daily notes. Thanks ,,,,,,la,,,,,
,,,WOOOOOOOO     >^<,EB,sz,,,vc,al,ec,,
31.12.24,HAPPY NEW YEAR GUYSSSS <3,,,,,,,,,,,
,,,merrryy christmassss,EB,sz,,,,<3,ec,,
30.12.24,Kapibara boxes are lucky dip so not to be opened,,,,,,la,,,,,
,,,ls,EB,SZ,,,,al,ec,,
28/12/24,"Hey guys, we are leaving centreway so keep all the boxes from delivery to be sent to centreway for packing up",,,,,,la,,,,,
,,,"i don't think we can turn it on rn, as the sound coming out from the box is concerning.",EB,SZ,,,,al,ec,,
25/12/24,MERRY CHRISTMAS,,,,,,la,,,,,
,,,ls,EB,sz,,,,,ec,,
20/12/25,LOTS OF URBAN PRODUCTS CERAMICS IN CUPBOARD S,,,,,,la,,,,,
,,,ls,EB,sz,,la,,al,ec,,
20/12/24,GUYS PLEASE TURN OFF THE SECURITY DOORS BEFORE CLOSING AND TURN THEM BVACK ON AFTER OPEN ,,did they paid with card? you can just give them a refund through zellar if u remember their last 4 digit of their card,theres a full refund and partial refund option on the eftpos if it happens again :),sz,,la,,,ec,,
,,,,,,,la,,,,,
19/12/24,"Hi Team, Please note - this customer has been approved to do a return and refund - but it's only a $75 refund - not a $89.95 refund, as she gained the free postage with us, by buying this online. Raincoat by Julie Martin",,ls,EB,SZ,,,vc,al,ec,,
,,,,,,,la,,,,,
14/12/24,"Stock might not match CIN7 this week, cuz of transfers, no need to worry about it",,ls,EB,sz,,,vc,al,ec,,
6/12/24,"Customer overchared by $30, was supped to be $68,75 and charged $98.75 by accident. The purchse incluced, 1x child unicorn nail stickers, 2 pairs of childers sock and 2 christams ornaments. Please feel free to ask Emma c for reference! ",,,,,,la,,,,,
,,,ls,EB,sz,,,vc,al,ec,,
6/12/24,"PLEASE MAKE SURE TO REQUEST ZELLAR ROLLS OR PRINTER ROLLS WHEN ITS LOW, DO NOT WAIT TILL THE LAST ROLL",,,,,,la,,,,,
,,,ls,EB,sz,,,vc,,ec,,
6/12/24,"Hi, we have new gift bags for XMAS, please scan barcode at the bottom of the monitor ",,,,,,la,,,,,
,,,ls,EB,sz,,,vc,al,ec,,
1.12.24,Hi please make sure youre not deactivating the security tags strips before you put them on - stay clear of the 'sensormatic' deactivator some tags on items aren't functioning,,,,,,la,,,,,
,,,ls,EB,sz,,,vc,,ec,,
01.12.24,"When pricing items and security tag items, if you can please price them near the barcodes, so it will be easier for customer and us to find the price and to detag the security sticker tag",,,,,,la,,,,,
,,,ls,EB,sz,,,vc,al,ec,,
30.11.24,"Hye, we have so many plushies stock that doesn't fit in our usual two cabinets, so i decided to put some in cabinet number 6",,,,,,la,,,,,
,,,ls,EB,sz,,,vc,al,ec,,
25.11.24,Hi everyone! a customer paid for an cherry earring but left it on the table . I placed the bag in the holding area.(customer will come pick up 26/11/24),,,,,,,,,,,
,,,,,,,la,,,,,
24.11.24,"for broken items, send a photo and let kaew knows and ask her what we should do with the broken items. please don't just chuck it in the cabinet without telling her, thanks",,ls,EB,sz,,,vc,al,ec,,
,,,,,,,la,,,,,
,"if you are doing cash change, please make sure not to get a lot of 20 and 10 cents, we don't need much of them. we need $10, $5, $2, $1 and 5 cents more than the others. if we are short on the 5 cents rolls,i suggest getting 3 rolls of them (which equals to $6) and getting either one roll of 20 cents or 10 cents (which equals to $4 = $10). hope this makes sense                        [EDIT* Please leave enough cash for closing! Thanks]",,ls,EB,sz,,,vc,al,ec,,
24.11.24,,,,,,,la,,,,,
,,,ls,EB,sz,,,vc,al,ec,,
23.11.24,"WHEN DOING CUSTOMER REQUEST, MAKE SURE THAT WAREHOUSE HAVE STOCKS, DON'T DO THEM IF THERE'S NO STOCKS (UNLESS THE CUSTOMER KNOWS WE MIGHT NOT BE GETTING THEM/OR WON'T BE GETTING THEM IN A WHILE, LEAVE NOTES ABOUT THIS) PUT THE NAMES ON CUSTOMER REQUEST AND THE ITEMS THEY ORDERED IN  THE 'STORE NEEDS AND DAILY NOTES'",,,,,,la,,,,,
,,,ls,EB,sz,,,vc,al,ec,,
23.11.24,WHEN DOING DELIVERY PLEASE CHECK THE CUSTOMER REQUEST AND CALL THE CUSTOMER THAT THEIR ITEMS HAVE ARRIVED. WE PUT THEM ON HOLD FOR THREE DAYS BEFORE THEY ARE PUT BACK TO THE SHELVES. PLEASE WRITE DOWN DATES THAT YOU CALLED THEM ON THE ITEMS ITSELF AND THE GOOGLE SHEET. DELETE THEM WHEN THE CUSTOMER HAS ALREADY PURCHASED THEM.,,,,,,la,,,,,
,,,ls,EB,sz,,,,al,ec,,
22/11/24,"Hey guys, PLeaseee remember to check you have closed the sales register at the end of day",,ls,EB,sz,,la,,al,ec,,
,,,ls,EB,sz,,,,al,ec,,
20/11/24,"Receipt rolls. If you see we are low on them, please request them in the Store needs tab. We got more from Officeworks and I have put them in cabinet 7",,,,,,la,,,,,
,,,ls,EB,sz,,,,al,ec,,
14/11/24,Could the staff working tomorrow do some cash change? We don't have enough coins :(( Sorry I jut realized it now but the bank is closing,,,,,,la,,,,,
,"The remianing 1 box (for Tuesday's delivery) is not coming, please keep an eye on and update anything new to Kaew ",,ls,EB,sz,,,,al,ec,,
6/11/24,Chirstmas Tree Light - Please make sure you turn on in the morning and off before you leave the store. The switch is under the tree.,,,,,,la,,,,,
,,,i don't get it,EB,sz,,,,al,ec,,
2/11/24,Cabinets have been reorganised. please try to keep them tidy ! ,,ls,EB,sz,,,,al,ec,,
,,,,,,,la,,,,,
1/11/24,"Hi when exchanging notes for change please only change $100 bills for smaller notes. There should be only 2 rolls per type of coin eg. 2 rolls of $2 coins, 2 rolls of 10 cents ect. It is very difficult to close with 20 rolls of change and not enough notes for the next day. Thankyou! :)",,ls,EB,sz,,,,,ec,,
,,,,,,,la,,,,,
1/11/24,hey the scissor with ribbon tied i not ribbons only!!!!! (keep in ribbon drawer),,ls,EB,sz,,,,al,ec,,
1/11/24,"hey, the big christmas tree has a light switch at the bottom please turn them on in the morning and off at night",,,,,,,,,,,
,,,,,,,,,,,,
31.10.24,"heya, the extra stock for the keychains (on the peg board is on cabinet X) just beside the peg board",,,,,,,,,,,
,,,,,,,,,,,,
30/10/24,If you do not want to print the receipt paper automatically please open Cin7 from Microsoft Edge,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,la,,,,,
,,,ls,EB,sz,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
30/10/24,DO NOT PUT THE PRICE STICKER IN THE FRONT like this. It looks very untidy. I have discussed this issue with you guys before.,,,,,,la,,,,,
,,,ls,EB,sz,,,,,,,
,,,,,,,la,,,,,
,,,ls,EB,sz,,,,,,,
30/10/24,"Please make sure you store all the garments in the rigth place. Stock were mixed everywhere in the cabinet. Kids with Adults, Tees with Raincoats and sizes mixed. We can not find anything for the customers.",,,,,,la,,,,,
,,,ls,EB,sz,,,,,,,
30/10/24,"DO NOT tag the books/ notebooks as the customers ca not rip the secuity tag out, if rip the book/notebook will get damage.",,,,,,la,,,,,
,,,ls,EB,sz,,,,,,,
30/10/24,Pricing - MAKE SURE YOU PRICE THE ITEMS!! I have more than 50% of the customers asked for the price. This will slow us down.,,,,,,la,,,,,
,,,ls,EB,sz,,,,,,,
28.10.24,"Heya, short stories earring come with a jar. These jar are near the security stickers and tags.  please make sure to give the right jar (ex: star wars jar for star wars earrings)",,,,,,la,,,,,
,,,ls,EB,sz,,,,,,,
28.10.24,"Hey, please note down whether u have called for customer request and delete them once customer has bought the item.",,ls,EB,sz,yl,la,,,,,
,,,ls,EB,sz,yl,la,vc,,,,
